# GO	NS	enrichment	name	ratio_in_study	ratio_in_pop	p_uncorrected	depth	study_count	p_bonferroni	p_fdr_bh	study_items
GO:1902913	BP	e	positive regulation of neuroepithelial cell differentiation	1/1277	1/43182	0.029572507063128157	7	1	1.0	0.24587432922513408	2247
GO:0031946	BP	e	regulation of glucocorticoid biosynthetic process	1/1277	1/43182	0.029572507063128157	9	1	1.0	0.24587432922513408	2908
GO:0036333	BP	e	hepatocyte homeostasis	1/1277	1/43182	0.029572507063128157	4	1	1.0	0.24587432922513408	2146
GO:0033609	BP	e	oxalate metabolic process	1/1277	1/43182	0.029572507063128157	7	1	1.0	0.24587432922513408	112817
GO:2000703	BP	e	negative regulation of fibroblast growth factor receptor signaling pathway involved in ureteric bud formation	1/1277	1/43182	0.029572507063128157	8	1	1.0	0.24587432922513408	2625
GO:0042413	BP	e	carnitine catabolic process	1/1277	1/43182	0.029572507063128157	7	1	1.0	0.24587432922513408	33
GO:0002691	BP	e	regulation of cellular extravasation	1/1277	1/43182	0.029572507063128157	7	1	1.0	0.24587432922513408	683
GO:1904777	BP	e	negative regulation of protein localization to cell cortex	1/1277	1/43182	0.029572507063128157	8	1	1.0	0.24587432922513408	89958
GO:1903825	BP	e	organic acid transmembrane transport	1/1277	1/43182	0.029572507063128157	6	1	1.0	0.24587432922513408	222962
GO:0003142	BP	e	cardiogenic plate morphogenesis	1/1277	1/43182	0.029572507063128157	3	1	1.0	0.24587432922513408	64321
GO:0070202	BP	e	regulation of establishment of protein localization to chromosome	1/1277	1/43182	0.029572507063128157	7	1	1.0	0.24587432922513408	23514
GO:0030451	BP	e	regulation of complement activation, alternative pathway	1/1277	1/43182	0.029572507063128157	7	1	1.0	0.24587432922513408	3075
GO:0150142	BP	e	positive regulation of CD86 production	1/1277	1/43182	0.029572507063128157	9	1	1.0	0.24587432922513408	90865
GO:0072356	BP	e	chromosome passenger complex localization to kinetochore	1/1277	1/43182	0.029572507063128157	9	1	1.0	0.24587432922513408	55920
GO:0060094	BP	e	positive regulation of synaptic transmission, glycinergic	1/1277	1/43182	0.029572507063128157	8	1	1.0	0.24587432922513408	56301
GO:1903353	BP	e	regulation of nucleus organization	1/1277	1/43182	0.029572507063128157	6	1	1.0	0.24587432922513408	23345
GO:1905935	BP	e	positive regulation of cell fate determination	1/1277	1/43182	0.029572507063128157	5	1	1.0	0.24587432922513408	7148
GO:0072254	BP	e	metanephric glomerular mesangial cell differentiation	1/1277	1/43182	0.029572507063128157	7	1	1.0	0.24587432922513408	947
GO:1903461	BP	e	Okazaki fragment processing involved in mitotic DNA replication	1/1277	1/43182	0.029572507063128157	8	1	1.0	0.24587432922513408	3978
GO:0035645	BP	e	enteric smooth muscle cell differentiation	1/1277	1/43182	0.029572507063128157	6	1	1.0	0.24587432922513408	1910
GO:0099500	BP	e	vesicle fusion to plasma membrane	1/1277	1/43182	0.029572507063128157	8	1	1.0	0.24587432922513408	286753
GO:1904291	BP	e	positive regulation of mitotic DNA damage checkpoint	1/1277	1/43182	0.029572507063128157	10	1	1.0	0.24587432922513408	51776
GO:1900143	BP	e	positive regulation of oligodendrocyte apoptotic process	1/1277	1/43182	0.029572507063128157	8	1	1.0	0.24587432922513408	9590
GO:0046092	BP	e	deoxycytidine metabolic process	1/1277	1/43182	0.029572507063128157	9	1	1.0	0.24587432922513408	7084
GO:1903621	BP	e	protein localization to photoreceptor connecting cilium	1/1277	1/43182	0.029572507063128157	8	1	1.0	0.24587432922513408	55812
GO:0006083	BP	e	acetate metabolic process	1/1277	1/43182	0.029572507063128157	7	1	1.0	0.24587432922513408	443
GO:1905603	BP	e	regulation of blood-brain barrier permeability	1/1277	1/43182	0.029572507063128157	6	1	1.0	0.24587432922513408	9839
GO:0046449	BP	e	creatinine metabolic process	1/1277	1/43182	0.029572507063128157	5	1	1.0	0.24587432922513408	4311
GO:1990960	BP	e	basophil homeostasis	1/1277	1/43182	0.029572507063128157	5	1	1.0	0.24587432922513408	4352
GO:0071031	BP	e	nuclear mRNA surveillance of mRNA 3'-end processing	1/1277	1/43182	0.029572507063128157	12	1	1.0	0.24587432922513408	84186
GO:1904950	BP	e	negative regulation of establishment of protein localization	1/1277	1/43182	0.029572507063128157	7	1	1.0	0.24587432922513408	10391
GO:0051685	BP	e	maintenance of ER location	1/1277	1/43182	0.029572507063128157	5	1	1.0	0.24587432922513408	81488
GO:0046722	BP	e	lactic acid secretion	1/1277	1/43182	0.029572507063128157	11	1	1.0	0.24587432922513408	32
GO:0035863	BP	e	dITP catabolic process	1/1277	1/43182	0.029572507063128157	12	1	1.0	0.24587432922513408	131870
GO:0032652	BP	e	regulation of interleukin-1 production	1/1277	1/43182	0.029572507063128157	9	1	1.0	0.24587432922513408	301
GO:1902860	BP	e	propionyl-CoA biosynthetic process	1/1277	1/43182	0.029572507063128157	13	1	1.0	0.24587432922513408	38
GO:1902688	BP	e	regulation of NAD metabolic process	1/1277	1/43182	0.029572507063128157	9	1	1.0	0.24587432922513408	9555
GO:0048137	BP	e	spermatocyte division	1/1277	1/43182	0.029572507063128157	3	1	1.0	0.24587432922513408	84690
GO:0110113	BP	e	positive regulation of lipid transporter activity	1/1277	1/43182	0.029572507063128157	7	1	1.0	0.24587432922513408	9370
GO:0071298	BP	e	cellular response to L-ascorbic acid	1/1277	1/43182	0.029572507063128157	8	1	1.0	0.24587432922513408	3952
GO:0009855	BP	e	determination of bilateral symmetry	1/1277	1/43182	0.029572507063128157	4	1	1.0	0.24587432922513408	8854
GO:0090132	BP	e	epithelium migration	1/1277	1/43182	0.029572507063128157	3	1	1.0	0.24587432922513408	79977
GO:0050823	BP	e	peptide antigen stabilization	1/1277	1/43182	0.029572507063128157	6	1	1.0	0.24587432922513408	6892
GO:2000118	BP	e	regulation of sodium-dependent phosphate transport	1/1277	1/43182	0.029572507063128157	6	1	1.0	0.24587432922513408	1408
GO:1902563	BP	e	regulation of neutrophil activation	1/1277	1/43182	0.029572507063128157	6	1	1.0	0.24587432922513408	5320
GO:1904815	BP	e	negative regulation of protein localization to chromosome, telomeric region	1/1277	1/43182	0.029572507063128157	7	1	1.0	0.24587432922513408	9555
GO:1903494	BP	e	response to dehydroepiandrosterone	1/1277	1/43182	0.029572507063128157	5	1	1.0	0.24587432922513408	1446
GO:1905041	BP	e	regulation of epithelium regeneration	1/1277	1/43182	0.029572507063128157	5	1	1.0	0.24587432922513408	83481
GO:0010464	BP	e	regulation of mesenchymal cell proliferation	1/1277	1/43182	0.029572507063128157	5	1	1.0	0.24587432922513408	6935
GO:2000808	BP	e	negative regulation of synaptic vesicle clustering	1/1277	1/43182	0.029572507063128157	6	1	1.0	0.24587432922513408	5728
GO:0032231	BP	e	regulation of actin filament bundle assembly	1/1277	1/43182	0.029572507063128157	9	1	1.0	0.24587432922513408	5962
GO:1902682	BP	e	protein localization to pericentric heterochromatin	1/1277	1/43182	0.029572507063128157	9	1	1.0	0.24587432922513408	3720
GO:1900369	BP	e	negative regulation of post-transcriptional gene silencing by regulatory ncRNA	1/1277	1/43182	0.029572507063128157	10	1	1.0	0.24587432922513408	103
GO:0021998	BP	e	neural plate mediolateral regionalization	1/1277	1/43182	0.029572507063128157	5	1	1.0	0.24587432922513408	657
GO:2000043	BP	e	regulation of cardiac cell fate specification	1/1277	1/43182	0.029572507063128157	6	1	1.0	0.24587432922513408	64321
GO:0015807	BP	e	L-amino acid transport	1/1277	1/43182	0.029572507063128157	8	1	1.0	0.24587432922513408	6541
GO:0014896	BP	e	muscle hypertrophy	1/1277	1/43182	0.029572507063128157	4	1	1.0	0.24587432922513408	3479
GO:1903946	BP	e	negative regulation of ventricular cardiac muscle cell action potential	1/1277	1/43182	0.029572507063128157	11	1	1.0	0.24587432922513408	274
GO:0060558	BP	e	regulation of calcidiol 1-monooxygenase activity	1/1277	1/43182	0.029572507063128157	6	1	1.0	0.24587432922513408	7421
GO:0023061	BP	e	signal release	1/1277	1/43182	0.029572507063128157	6	1	1.0	0.24587432922513408	19
GO:0042147	BP	e	retrograde transport, endosome to Golgi	6/1277	79/43182	0.02961149667295556	6	6	1.0	0.24587432922513408	6643, 9341, 10490, 22836, 27147, 374666
GO:0010508	BP	e	positive regulation of autophagy	6/1277	79/43182	0.02961149667295556	7	6	1.0	0.24587432922513408	2308, 5587, 6093, 11043, 51100, 258010
GO:0032689	BP	e	negative regulation of type II interferon production	4/1277	40/43182	0.029937698706796825	10	4	1.0	0.2484135612721336	2625, 3624, 7099, 90865
GO:0006811	BP	e	monoatomic ion transport	7/1277	101/43182	0.030451891713842525	4	7	1.0	0.25250816403425175	6548, 6574, 6581, 53919, 64805, 83733, 285195
GO:0007224	BP	e	smoothened signaling pathway	6/1277	80/43182	0.03124149306915399	6	6	1.0	0.25887933814650665	2719, 3280, 4735, 51057, 57545, 146057
GO:0071333	BP	e	cellular response to glucose stimulus	5/1277	60/43182	0.0321497365547769	8	5	1.0	0.2656824565629155	1215, 3745, 5105, 5290, 6659
GO:0045597	BP	e	positive regulation of cell differentiation	5/1277	60/43182	0.0321497365547769	5	5	1.0	0.2656824565629155	2690, 6597, 6599, 8839, 10848
GO:0070373	BP	e	negative regulation of ERK1 and ERK2 cascade	5/1277	60/43182	0.0321497365547769	9	5	1.0	0.2656824565629155	7099, 7430, 9270, 9370, 55885
GO:0051289	BP	e	protein homotetramerization	5/1277	60/43182	0.0321497365547769	8	5	1.0	0.2656824565629155	32, 4199, 6470, 7083, 8854
GO:0048704	BP	e	embryonic skeletal system morphogenesis	4/1277	41/43182	0.032422243319213874	5	4	1.0	0.2674167919114399	1301, 3204, 6935, 28982
GO:0032526	BP	e	response to retinoic acid	4/1277	41/43182	0.032422243319213874	5	4	1.0	0.2674167919114399	654, 5950, 6256, 8854
GO:0043113	BP	e	receptor clustering	3/1277	24/43182	0.032883152218870594	6	3	1.0	0.2674167919114399	1741, 9270, 375790
GO:0030521	BP	e	androgen receptor signaling pathway	3/1277	24/43182	0.032883152218870594	8	3	1.0	0.2674167919114399	8611, 51389, 158800
GO:1904706	BP	e	negative regulation of vascular associated smooth muscle cell proliferation	3/1277	24/43182	0.032883152218870594	7	3	1.0	0.2674167919114399	5468, 5728, 9370
GO:0010842	BP	e	retina layer formation	3/1277	24/43182	0.032883152218870594	3	3	1.0	0.2674167919114399	5797, 7020, 112724
GO:0022604	BP	e	regulation of cell morphogenesis	3/1277	24/43182	0.032883152218870594	5	3	1.0	0.2674167919114399	1364, 10979, 152503
GO:0040014	BP	e	regulation of multicellular organism growth	3/1277	24/43182	0.032883152218870594	5	3	1.0	0.2674167919114399	2690, 5290, 6776
GO:0042026	BP	e	protein refolding	3/1277	24/43182	0.032883152218870594	3	3	1.0	0.2674167919114399	1410, 3316, 126393
GO:0021983	BP	e	pituitary gland development	3/1277	24/43182	0.032883152218870594	5	3	1.0	0.2674167919114399	657, 999, 8854
GO:0001678	BP	e	intracellular glucose homeostasis	3/1277	24/43182	0.032883152218870594	5	3	1.0	0.2674167919114399	2308, 5296, 28999
GO:0086002	BP	e	cardiac muscle cell action potential involved in contraction	3/1277	24/43182	0.032883152218870594	6	3	1.0	0.2674167919114399	781, 6330, 6335
GO:0003148	BP	e	outflow tract septum morphogenesis	3/1277	24/43182	0.032883152218870594	4	3	1.0	0.2674167919114399	657, 23414, 55742
GO:0016485	BP	e	protein processing	6/1277	81/43182	0.03292888587071004	6	6	1.0	0.2674167919114399	835, 1368, 2161, 4311, 5125, 9509
GO:0006613	BP	e	cotranslational protein targeting to membrane	2/1277	10/43182	0.033589006783064035	8	2	1.0	0.2674167919114399	7095, 29927
GO:0001574	BP	e	ganglioside biosynthetic process	2/1277	10/43182	0.033589006783064035	9	2	1.0	0.2674167919114399	30815, 256435
GO:0060068	BP	e	vagina development	2/1277	10/43182	0.033589006783064035	6	2	1.0	0.2674167919114399	5950, 7301
GO:0070262	BP	e	peptidyl-serine dephosphorylation	2/1277	10/43182	0.033589006783064035	7	2	1.0	0.2674167919114399	1843, 4690
GO:0032060	BP	e	bleb assembly	2/1277	10/43182	0.033589006783064035	7	2	1.0	0.2674167919114399	2012, 6093
GO:0015695	BP	e	organic cation transport	2/1277	10/43182	0.033589006783064035	5	2	1.0	0.2674167919114399	6581, 222962
GO:0090660	BP	e	cerebrospinal fluid circulation	2/1277	10/43182	0.033589006783064035	6	2	1.0	0.2674167919114399	1770, 79864
GO:0046825	BP	e	regulation of protein export from nucleus	2/1277	10/43182	0.033589006783064035	9	2	1.0	0.2674167919114399	5781, 7514
GO:0006620	BP	e	post-translational protein targeting to endoplasmic reticulum membrane	2/1277	10/43182	0.033589006783064035	9	2	1.0	0.2674167919114399	7095, 29927
GO:0032680	BP	e	regulation of tumor necrosis factor production	2/1277	10/43182	0.033589006783064035	10	2	1.0	0.2674167919114399	284, 7538
GO:0010591	BP	e	regulation of lamellipodium assembly	2/1277	10/43182	0.033589006783064035	8	2	1.0	0.2674167919114399	2039, 2241
GO:1902533	BP	e	positive regulation of intracellular signal transduction	2/1277	10/43182	0.033589006783064035	7	2	1.0	0.2674167919114399	2246, 22871
GO:1901838	BP	e	positive regulation of transcription of nucleolar large rRNA by RNA polymerase I	2/1277	10/43182	0.033589006783064035	11	2	1.0	0.2674167919114399	6597, 64768
GO:0051660	BP	e	establishment of centrosome localization	2/1277	10/43182	0.033589006783064035	4	2	1.0	0.2674167919114399	7430, 117583
GO:0006081	BP	e	cellular aldehyde metabolic process	2/1277	10/43182	0.033589006783064035	3	2	1.0	0.2674167919114399	216, 224
GO:0034115	BP	e	negative regulation of heterotypic cell-cell adhesion	2/1277	10/43182	0.033589006783064035	7	2	1.0	0.2674167919114399	9314, 9370
GO:0060397	BP	e	growth hormone receptor signaling pathway via JAK-STAT	2/1277	10/43182	0.033589006783064035	9	2	1.0	0.2674167919114399	3716, 6776
GO:0030219	BP	e	megakaryocyte differentiation	2/1277	10/43182	0.033589006783064035	5	2	1.0	0.2674167919114399	1030, 4094
GO:0001961	BP	e	positive regulation of cytokine-mediated signaling pathway	2/1277	10/43182	0.033589006783064035	7	2	1.0	0.2674167919114399	10555, 85480
GO:0071223	BP	e	cellular response to lipoteichoic acid	2/1277	10/43182	0.033589006783064035	6	2	1.0	0.2674167919114399	948, 7099
GO:0097084	BP	e	vascular associated smooth muscle cell development	2/1277	10/43182	0.033589006783064035	5	2	1.0	0.2674167919114399	3280, 6443
GO:0034755	BP	e	iron ion transmembrane transport	2/1277	10/43182	0.033589006783064035	9	2	1.0	0.2674167919114399	4891, 286133
GO:0048048	BP	e	embryonic eye morphogenesis	2/1277	10/43182	0.033589006783064035	6	2	1.0	0.2674167919114399	2200, 8076
GO:0070314	BP	e	G1 to G0 transition	2/1277	10/43182	0.033589006783064035	3	2	1.0	0.2674167919114399	2146, 11180
GO:0009100	BP	e	glycoprotein metabolic process	2/1277	10/43182	0.033589006783064035	5	2	1.0	0.2674167919114399	30815, 256435
GO:0042711	BP	e	maternal behavior	2/1277	10/43182	0.033589006783064035	5	2	1.0	0.2674167919114399	552, 2908
GO:0060670	BP	e	branching involved in labyrinthine layer morphogenesis	2/1277	10/43182	0.033589006783064035	6	2	1.0	0.2674167919114399	6692, 84870
GO:0014912	BP	e	negative regulation of smooth muscle cell migration	2/1277	10/43182	0.033589006783064035	7	2	1.0	0.2674167919114399	657, 4035
GO:0060009	BP	e	Sertoli cell development	2/1277	10/43182	0.033589006783064035	5	2	1.0	0.2674167919114399	2241, 6382
GO:0070633	BP	e	transepithelial transport	2/1277	10/43182	0.033589006783064035	4	2	1.0	0.2674167919114399	1525, 2822
GO:0048333	BP	e	mesodermal cell differentiation	2/1277	10/43182	0.033589006783064035	4	2	1.0	0.2674167919114399	3624, 3688
GO:1904179	BP	e	positive regulation of adipose tissue development	2/1277	10/43182	0.033589006783064035	5	2	1.0	0.2674167919114399	4023, 5468
GO:0045124	BP	e	regulation of bone resorption	2/1277	10/43182	0.033589006783064035	6	2	1.0	0.2674167919114399	1901, 5166
GO:0019065	BP	e	receptor-mediated endocytosis of virus by host cell	2/1277	10/43182	0.033589006783064035	7	2	1.0	0.2674167919114399	857, 858
GO:0097094	BP	e	craniofacial suture morphogenesis	2/1277	10/43182	0.033589006783064035	3	2	1.0	0.2674167919114399	1112, 158326
GO:0016126	BP	e	sterol biosynthetic process	2/1277	10/43182	0.033589006783064035	6	2	1.0	0.2674167919114399	6713, 10826
GO:0140115	BP	e	export across plasma membrane	2/1277	10/43182	0.033589006783064035	5	2	1.0	0.2674167919114399	19, 222962
GO:0007168	BP	e	receptor guanylyl cyclase signaling pathway	2/1277	10/43182	0.033589006783064035	7	2	1.0	0.2674167919114399	4881, 4882
GO:0043393	BP	e	regulation of protein binding	2/1277	10/43182	0.033589006783064035	4	2	1.0	0.2674167919114399	1398, 8536
GO:0033762	BP	e	response to glucagon	2/1277	10/43182	0.033589006783064035	7	2	1.0	0.2674167919114399	1036, 5207
GO:0035825	BP	e	homologous recombination	2/1277	10/43182	0.033589006783064035	8	2	1.0	0.2674167919114399	580, 29128
GO:0070922	BP	e	RISC complex assembly	2/1277	10/43182	0.033589006783064035	7	2	1.0	0.2674167919114399	103, 8575
GO:0045087	BP	e	innate immune response	21/1277	445/43182	0.03403703977499026	6	21	1.0	0.27080678086163057	103, 301, 384, 729, 2161, 2534, 2625, 3149, 4282, 5094, 5468, 5587, 5919, 7099, 9618, 11043, 30835, 81559, 135154, 286827, 400830
GO:0009611	BP	e	response to wounding	5/1277	61/43182	0.03419858589604924	3	5	1.0	0.2717371003260116	2252, 4774, 6790, 7538, 10894
GO:0000281	BP	e	mitotic cytokinesis	5/1277	61/43182	0.03419858589604924	5	5	1.0	0.2717371003260116	6093, 6242, 6711, 23265, 51203
GO:0032722	BP	e	positive regulation of chemokine production	4/1277	42/43182	0.03502383459283422	10	4	1.0	0.27811299163970904	4023, 7099, 85480, 90865
GO:0001817	BP	e	regulation of cytokine production	5/1277	62/43182	0.036326535139267056	8	5	1.0	0.288081721700138	2625, 7690, 23598, 57678, 153579
GO:0030163	BP	e	protein catabolic process	5/1277	62/43182	0.036326535139267056	5	5	1.0	0.288081721700138	1215, 2534, 4012, 4311, 6768
GO:0060349	BP	e	bone morphogenesis	3/1277	25/43182	0.03656752800209028	4	3	1.0	0.2884903229232265	4487, 7020, 9249
GO:0042104	BP	e	positive regulation of activated T cell proliferation	3/1277	25/43182	0.03656752800209028	10	3	1.0	0.2884903229232265	3479, 57678, 100133941
GO:0017156	BP	e	calcium-ion regulated exocytosis	3/1277	25/43182	0.03656752800209028	8	3	1.0	0.2884903229232265	5532, 6854, 9341
GO:0045022	BP	e	early endosome to late endosome transport	3/1277	25/43182	0.03656752800209028	7	3	1.0	0.2884903229232265	51361, 83547, 374666
GO:0070316	BP	e	regulation of G0 to G1 transition	3/1277	25/43182	0.03656752800209028	6	3	1.0	0.2884903229232265	1030, 6597, 6599
GO:0048844	BP	e	artery morphogenesis	3/1277	25/43182	0.03656752800209028	5	3	1.0	0.2884903229232265	338, 3280, 7481
GO:0032753	BP	e	positive regulation of interleukin-4 production	3/1277	25/43182	0.03656752800209028	10	3	1.0	0.2884903229232265	2625, 5590, 90865
GO:0032147	BP	e	activation of protein kinase activity	3/1277	25/43182	0.03656752800209028	11	3	1.0	0.2884903229232265	150, 2011, 55437
GO:1900026	BP	e	positive regulation of substrate adhesion-dependent cell spreading	4/1277	43/43182	0.037742873689045664	7	4	1.0	0.296419048617837	1398, 4653, 6281, 10979
GO:0046854	BP	e	phosphatidylinositol phosphate biosynthetic process	4/1277	43/43182	0.037742873689045664	9	4	1.0	0.296419048617837	5290, 5296, 23049, 145567
GO:0001658	BP	e	branching involved in ureteric bud morphogenesis	4/1277	43/43182	0.037742873689045664	7	4	1.0	0.296419048617837	650, 2247, 2719, 3911
GO:0007259	BP	e	receptor signaling pathway via JAK-STAT	4/1277	43/43182	0.037742873689045664	7	4	1.0	0.296419048617837	2690, 3454, 3716, 6776
GO:0042177	BP	e	negative regulation of protein catabolic process	4/1277	43/43182	0.037742873689045664	7	4	1.0	0.296419048617837	2534, 8724, 54972, 83547
GO:0030890	BP	e	positive regulation of B cell proliferation	4/1277	43/43182	0.037742873689045664	9	4	1.0	0.296419048617837	683, 4282, 7099, 10451
GO:0048856	BP	e	anatomical structure development	4/1277	43/43182	0.037742873689045664	2	4	1.0	0.296419048617837	6256, 6935, 7020, 9839
GO:0032720	BP	e	negative regulation of tumor necrosis factor production	5/1277	63/43182	0.03853413783410066	11	5	1.0	0.30224361426734075	384, 1149, 3479, 7099, 9370
GO:0070301	BP	e	cellular response to hydrogen peroxide	5/1277	63/43182	0.03853413783410066	7	5	1.0	0.30224361426734075	983, 2146, 2534, 5603, 9314
GO:0035723	BP	e	interleukin-15-mediated signaling pathway	2/1277	11/43182	0.0402614358834235	7	2	1.0	0.30961145864645306	3716, 6776
GO:2000178	BP	e	negative regulation of neural precursor cell proliferation	2/1277	11/43182	0.0402614358834235	6	2	1.0	0.30961145864645306	6692, 10653
GO:0060444	BP	e	branching involved in mammary gland duct morphogenesis	2/1277	11/43182	0.0402614358834235	7	2	1.0	0.30961145864645306	780, 10765
GO:0001759	BP	e	organ induction	2/1277	11/43182	0.0402614358834235	7	2	1.0	0.30961145864645306	2246, 2247
GO:0071492	BP	e	cellular response to UV-A	2/1277	11/43182	0.0402614358834235	8	2	1.0	0.30961145864645306	4311, 5481
GO:0097091	BP	e	synaptic vesicle clustering	2/1277	11/43182	0.0402614358834235	5	2	1.0	0.30961145864645306	6854, 22871
GO:0045654	BP	e	positive regulation of megakaryocyte differentiation	2/1277	11/43182	0.0402614358834235	9	2	1.0	0.30961145864645306	10826, 222166
GO:1901380	BP	e	negative regulation of potassium ion transmembrane transport	2/1277	11/43182	0.0402614358834235	9	2	1.0	0.30961145864645306	274, 857
GO:0019370	BP	e	leukotriene biosynthetic process	2/1277	11/43182	0.0402614358834235	8	2	1.0	0.30961145864645306	5321, 5322
GO:0006182	BP	e	cGMP biosynthetic process	2/1277	11/43182	0.0402614358834235	11	2	1.0	0.30961145864645306	4881, 4882
GO:0006970	BP	e	response to osmotic stress	2/1277	11/43182	0.0402614358834235	3	2	1.0	0.30961145864645306	5603, 91862
GO:0006068	BP	e	ethanol catabolic process	2/1277	11/43182	0.0402614358834235	7	2	1.0	0.30961145864645306	217, 27233
GO:0032330	BP	e	regulation of chondrocyte differentiation	2/1277	11/43182	0.0402614358834235	6	2	1.0	0.30961145864645306	4094, 7227
GO:0030299	BP	e	intestinal cholesterol absorption	2/1277	11/43182	0.0402614358834235	8	2	1.0	0.30961145864645306	948, 1645
GO:2001028	BP	e	positive regulation of endothelial cell chemotaxis	2/1277	11/43182	0.0402614358834235	9	2	1.0	0.30961145864645306	2247, 5587
GO:0071872	BP	e	cellular response to epinephrine stimulus	2/1277	11/43182	0.0402614358834235	8	2	1.0	0.30961145864645306	6548, 9370
GO:0045056	BP	e	transcytosis	2/1277	11/43182	0.0402614358834235	5	2	1.0	0.30961145864645306	4035, 338328
GO:0030948	BP	e	negative regulation of vascular endothelial growth factor receptor signaling pathway	2/1277	11/43182	0.0402614358834235	7	2	1.0	0.30961145864645306	10016, 64855
GO:0030850	BP	e	prostate gland development	2/1277	11/43182	0.0402614358834235	5	2	1.0	0.30961145864645306	3206, 6599
GO:0001823	BP	e	mesonephros development	2/1277	11/43182	0.0402614358834235	5	2	1.0	0.30961145864645306	2625, 7704
GO:0006686	BP	e	sphingomyelin biosynthetic process	2/1277	11/43182	0.0402614358834235	8	2	1.0	0.30961145864645306	10351, 142891
GO:0006995	BP	e	cellular response to nitrogen starvation	2/1277	11/43182	0.0402614358834235	7	2	1.0	0.30961145864645306	23710, 440738
GO:1901998	BP	e	toxin transport	2/1277	11/43182	0.0402614358834235	4	2	1.0	0.30961145864645306	6581, 222962
GO:0035542	BP	e	regulation of SNARE complex assembly	2/1277	11/43182	0.0402614358834235	6	2	1.0	0.30961145864645306	23176, 27072
GO:0000050	BP	e	urea cycle	2/1277	11/43182	0.0402614358834235	6	2	1.0	0.30961145864645306	384, 1050
GO:0072577	BP	e	endothelial cell apoptotic process	2/1277	11/43182	0.0402614358834235	6	2	1.0	0.30961145864645306	51129, 57124
GO:0033555	BP	e	multicellular organismal response to stress	2/1277	11/43182	0.0402614358834235	3	2	1.0	0.30961145864645306	117, 5728
GO:0009435	BP	e	NAD biosynthetic process	2/1277	11/43182	0.0402614358834235	11	2	1.0	0.30961145864645306	23057, 55191
GO:2000672	BP	e	negative regulation of motor neuron apoptotic process	2/1277	11/43182	0.0402614358834235	8	2	1.0	0.30961145864645306	2065, 6093
GO:0086004	BP	e	regulation of cardiac muscle cell contraction	2/1277	11/43182	0.0402614358834235	9	2	1.0	0.30961145864645306	287, 477
GO:0016075	BP	e	rRNA catabolic process	2/1277	11/43182	0.0402614358834235	9	2	1.0	0.30961145864645306	79002, 115752
GO:0006402	BP	e	mRNA catabolic process	3/1277	26/43182	0.04045406338525117	9	3	1.0	0.30972403902938056	7538, 11157, 131870
GO:0006506	BP	e	GPI anchor biosynthetic process	3/1277	26/43182	0.04045406338525117	9	3	1.0	0.30972403902938056	5281, 80235, 84302
GO:0001782	BP	e	B cell homeostasis	3/1277	26/43182	0.04045406338525117	6	3	1.0	0.30972403902938056	10018, 55012, 139818
GO:0001954	BP	e	positive regulation of cell-matrix adhesion	3/1277	26/43182	0.04045406338525117	7	3	1.0	0.30972403902938056	948, 3728, 5590
GO:0042908	BP	e	xenobiotic transport	3/1277	26/43182	0.04045406338525117	4	3	1.0	0.30972403902938056	6581, 10351, 222962
GO:0035307	BP	e	positive regulation of protein dephosphorylation	3/1277	26/43182	0.04045406338525117	9	3	1.0	0.30972403902938056	801, 5725, 10395
GO:1990000	BP	e	amyloid fibril formation	3/1277	26/43182	0.04045406338525117	5	3	1.0	0.30972403902938056	948, 2521, 2934
GO:0021549	BP	e	cerebellum development	4/1277	44/43182	0.04057958612123315	3	4	1.0	0.31010033785617375	2618, 2662, 23026, 146057
GO:0009566	BP	e	fertilization	4/1277	44/43182	0.04057958612123315	2	4	1.0	0.31010033785617375	338, 25945, 84690, 317719
GO:0007098	BP	e	centrosome cycle	4/1277	44/43182	0.04057958612123315	5	4	1.0	0.31010033785617375	983, 9659, 9768, 117178
GO:0007416	BP	e	synapse assembly	5/1277	64/43182	0.040821869597381814	6	5	1.0	0.3115608982241277	999, 5728, 10160, 22871, 51201
GO:0007611	BP	e	learning or memory	5/1277	64/43182	0.040821869597381814	5	5	1.0	0.3115608982241277	1393, 4311, 4891, 5728, 6285
GO:0006974	BP	e	DNA damage response	14/1277	267/43182	0.0423982007752163	4	14	1.0	0.3233891569460925	580, 835, 2308, 7153, 8870, 9766, 9768, 10451, 11335, 22880, 23049, 23514, 29128, 51514
GO:0007188	BP	e	adenylate cyclase-modulating G protein-coupled receptor signaling pathway	4/1277	45/43182	0.04353402643860108	6	4	1.0	0.3316372583168229	117, 154, 2770, 5745
GO:0022617	BP	e	extracellular matrix disassembly	4/1277	45/43182	0.04353402643860108	6	4	1.0	0.3316372583168229	1215, 3915, 4320, 11096
GO:0043616	BP	e	keratinocyte proliferation	3/1277	27/43182	0.044540181912470486	4	3	1.0	0.33761291591524767	2810, 3664, 6935
GO:0048843	BP	e	negative regulation of axon extension involved in axon guidance	3/1277	27/43182	0.044540181912470486	11	3	1.0	0.33761291591524767	6405, 10371, 56920
GO:0044344	BP	e	cellular response to fibroblast growth factor stimulus	3/1277	27/43182	0.044540181912470486	5	3	1.0	0.33761291591524767	7538, 9270, 10765
GO:0030901	BP	e	midbrain development	3/1277	27/43182	0.044540181912470486	3	3	1.0	0.33761291591524767	1215, 3280, 4487
